id,name,member,new_mp
,Taunton and Wellington,Gideon Amos,1
,North Norfolk,Steff Aquarone,1
,Eastbourne,Josh Babarinde,1
,Mid Sussex,Alison Bennett,1
,North East Hampshire,Alex Brewer,1
,Chichester,Jess Brown-Fuller,1
,Ely and East Cambridgeshire,Charlotte Cane,1
,Orkney and Shetland,Alistair Carmichael,0
,"Brecon, Radnor and Cwm Tawe",David Chadwick,1
,North East Fife,Wendy Chamberlain,0
E14001587,Winchester,Danny Chambers,1
,Dorking and Horley,Chris Coghlan,1
,Harpenden and Berkhamsted,Victoria Collins,1
,St Albans,Daisy Cooper,0
E14001603,Yeovil,Adam Dance,1
,Torbay,Steve Darling,1
,Kingston and Surbiton,Ed Davey,0
,Carshalton and Wallington,Bobby Dean,1
,Newbury,Lee Dillon,1
,Glastonbury and Somerton,Sarah Dyke,1
E14001580,Westmorland and Lonsdale,Tim Farron,0
,Honiton and Sidmouth,Richard Foord,0
E14001592,Woking,Will Forster,1
,Guildford,Zöe Franklin,1
E14001511,St Ives,Andrew George,1
,Chippenham,Sarah Gibson,1
,Tiverton and Minehead,Rachel Gilmour,1
,Didcot and Wantage,Olly Glover,1
,Chelmsford,Marie Goldman,1
,Harrogate and Knaresborough,Tom Gordon,1
,Chesham and Amersham,Sarah Green,0
,Esher and Walton,Monica Harding,1
,South Cambridgeshire,Pippa Heylings,1
,Bath,Wera Hobhouse,1
,Edinburgh West,Christine Jardine,0
E14001220,Eastleigh,Liz Jarvis,1
,Wokingham,Clive Jones,1
,Wimbledon,Paul Kohler,1
E14001330,Lewes,James MacCleary,1
,"Inverness, Skye and West Ross-shire",Angus MacDonald,1
,North Cornwall,Ben Maguire,1
,Epsom and Ewell,Helen Maguire,1
,Tunbridge Wells,Mike Martin,1
,Melksham and Devizes,Brian Mathew,1
E14001591,Witney,Charlie Maynard,1
,Bicester and Woodstock,Calum Miller,1
,Horsham,John Milne,1
,Oxford West and Abingdon,Layla Moran,0
,West Dorset,Edward Morello,1
,North Shropshire,Helen Morgan,0
,Cheadle,Tom Morrison,1
E14001572,Wells and Mendip Hills,Tessa Munt,1
,Mid Dunbartonshire,Susan Murray,1
,Richmond Park,Sarah Olney,0
,Stratford-on-Avon,Manuela Perteghella,1
,Surrey Heath,Al Pinkerton,1
,Maidenhead,Joshua Reynolds,1
,North Devon,Ian Roome,1
,Frome and East Somerset,Anna Sabine,1
,South Cotswolds,Roz Savage,1
,Mid Dorset and North Poole,Vikki Slade,1
,Hazel Grove,Lisa Smart,1
,St Neots and Mid Cambridgeshire,Ian Sollom,1
,"Caithness, Sutherland and Easter Ross",Jamie Stone,0
,Sutton and Cheam,Luke Taylor,1
,Tewkesbury,Cameron Thomas,1
,Henley and Thame,Freddie Mierlo,1
,South Devon,Caroline Voaden,1
,Cheltenham,Max Wilkinson,1
,Twickenham,Munira Wilson,0
,Newton Abbot,Martin Wrigley,1
,Thornbury and Yate,Claire Young,1
